"","continent","n_components","comp_out_in_degree","components_out_degree","components_in_degree","components"
"1","Americas",1,"Belize (1/ 2); Barbados (8/ 4); Brazil (19/ 2); Canada (21/ 2); Colombia (2/ 4); Dominican Republic (4/ 4); Honduras (1/ 3); Guyana (2/ 2); Guatemala (1/ 3); Peru (1/ 2); Nicaragua (3/ 2); Trinidad and Tobago (1/ 3); USA (33/ 3); Argentina (0/ 3); Panama (0/ 4); Saint Lucia (0/ 4); Saint Kitts and Nevis (0/ 4); Antigua and Barbuda (0/ 3); Dominica (0/ 2); Bahamas (0/ 3); Saint Vincent and the Grenadines (0/ 3); Grenada (0/ 2); Ecuador (0/ 4); Jamaica (0/ 3); Costa Rica (0/ 3); Venezuela (0/ 3); Paraguay (0/ 3); Bolivia (0/ 2); Haiti (0/ 3); El Salvador (0/ 3); Uruguay (0/ 3); Chile (0/ 2); Mexico (0/ 2); Suriname (0/ 1); Cuba (0/ 1)","Belize (1); Barbados (8); Brazil (19); Canada (21); Colombia (2); Dominican Republic (4); Honduras (1); Guyana (2); Guatemala (1); Peru (1); Nicaragua (3); Trinidad and Tobago (1); USA (33); Argentina (0); Panama (0); Saint Lucia (0); Saint Kitts and Nevis (0); Antigua and Barbuda (0); Dominica (0); Bahamas (0); Saint Vincent and the Grenadines (0); Grenada (0); Ecuador (0); Jamaica (0); Costa Rica (0); Venezuela (0); Paraguay (0); Bolivia (0); Haiti (0); El Salvador (0); Uruguay (0); Chile (0); Mexico (0); Suriname (0); Cuba (0)","Belize (2); Barbados (4); Brazil (2); Canada (2); Colombia (4); Dominican Republic (4); Honduras (3); Guyana (2); Guatemala (3); Peru (2); Nicaragua (2); Trinidad and Tobago (3); USA (3); Argentina (3); Panama (4); Saint Lucia (4); Saint Kitts and Nevis (4); Antigua and Barbuda (3); Dominica (2); Bahamas (3); Saint Vincent and the Grenadines (3); Grenada (2); Ecuador (4); Jamaica (3); Costa Rica (3); Venezuela (3); Paraguay (3); Bolivia (2); Haiti (3); El Salvador (3); Uruguay (3); Chile (2); Mexico (2); Suriname (1); Cuba (1)","Belize; Barbados; Brazil; Canada; Colombia; Dominican Republic; Honduras; Guyana; Guatemala; Peru; Nicaragua; Trinidad and Tobago; USA; Argentina; Panama; Saint Lucia; Saint Kitts and Nevis; Antigua and Barbuda; Dominica; Bahamas; Saint Vincent and the Grenadines; Grenada; Ecuador; Jamaica; Costa Rica; Venezuela; Paraguay; Bolivia; Haiti; El Salvador; Uruguay; Chile; Mexico; Suriname; Cuba"
"2","Europe",1,"Belarus (1/ 5); Bulgaria (21/ 8); Belgium (37/ 11); Austria (7/ 11); Czechia (12/ 15); Croatia (5/ 9); Denmark (27/ 11); Estonia (4/ 10); Finland (1/ 5); Germany (32/ 20); Greece (2/ 9); Hungary (24/ 12); Italy (30/ 13); Latvia (4/ 9); Malta (0/ 9); Ireland (13/ 12); Iceland (1/ 4); Lithuania (7/ 14); Portugal (2/ 11); Russia (15/ 9); Netherlands (28/ 14); Republic of Moldova (2/ 9); Montenegro (1/ 11); Norway (7/ 10); Romania (14/ 6); Slovenia (2/ 7); Slovakia (9/ 9); Serbia (5/ 12); Spain (19/ 12); Sweden (19/ 6); Switzerland (22/ 10); UK (17/ 14); Ukraine (2/ 15); Bosnia and Herzegovina (0/ 10); North Macedonia (0/ 8); Albania (0/ 11); Andorra (0/ 5); Poland (0/ 10); Luxembourg (0/ 3); Faeroe Islands (0/ 1); San Marino (0/ 2)","Belarus (1); Bulgaria (21); Belgium (37); Austria (7); Czechia (12); Croatia (5); Denmark (27); Estonia (4); Finland (1); Germany (32); Greece (2); Hungary (24); Italy (30); Latvia (4); Malta (0); Ireland (13); Iceland (1); Lithuania (7); Portugal (2); Russia (15); Netherlands (28); Republic of Moldova (2); Montenegro (1); Norway (7); Romania (14); Slovenia (2); Slovakia (9); Serbia (5); Spain (19); Sweden (19); Switzerland (22); UK (17); Ukraine (2); Bosnia and Herzegovina (0); North Macedonia (0); Albania (0); Andorra (0); Poland (0); Luxembourg (0); Faeroe Islands (0); San Marino (0)","Belarus (5); Bulgaria (8); Belgium (11); Austria (11); Czechia (15); Croatia (9); Denmark (11); Estonia (10); Finland (5); Germany (20); Greece (9); Hungary (12); Italy (13); Latvia (9); Malta (9); Ireland (12); Iceland (4); Lithuania (14); Portugal (11); Russia (9); Netherlands (14); Republic of Moldova (9); Montenegro (11); Norway (10); Romania (6); Slovenia (7); Slovakia (9); Serbia (12); Spain (12); Sweden (6); Switzerland (10); UK (14); Ukraine (15); Bosnia and Herzegovina (10); North Macedonia (8); Albania (11); Andorra (5); Poland (10); Luxembourg (3); Faeroe Islands (1); San Marino (2)","Belarus; Bulgaria; Belgium; Austria; Czechia; Croatia; Denmark; Estonia; Finland; Germany; Greece; Hungary; Italy; Latvia; Malta; Ireland; Iceland; Lithuania; Portugal; Russia; Netherlands; Republic of Moldova; Montenegro; Norway; Romania; Slovenia; Slovakia; Serbia; Spain; Sweden; Switzerland; UK; Ukraine; Bosnia and Herzegovina; North Macedonia; Albania; Andorra; Poland; Luxembourg; Faeroe Islands; San Marino"
"3","Asia",2,"Azerbaijan (1/ 4); Armenia (1/ 4); Brunei Darussalam (1/ 6); China (42/ 6); Sri Lanka (1/ 8); Georgia (2/ 4); Indonesia (28/ 7); Kuwait (1/ 6); Malaysia (6/ 8); Israel (1/ 3); South Korea (34/ 5); Lebanon (1/ 4); Japan (22/ 3); Saudi Arabia (3/ 4); Oman (0/ 4); Philippines (1/ 10); Pakistan (1/ 6); Vietnam (4/ 7); India (43/ 5); Singapore (19/ 7); Thailand (13/ 8); United Arab Emirates (22/ 6); Uzbekistan (1/ 2); Turkey (1/ 7); Timor-Leste (0/ 6); Bahrain (0/ 5); Lao People's Democratic Republic (0/ 8); Bangladesh (0/ 8); Afghanistan (0/ 5); Turkmenistan (0/ 4); Syrian Arab Republic (0/ 5); Kyrgyzstan (0/ 4); Mongolia (0/ 3); Tajikistan (0/ 5); Bhutan (0/ 5); Nepal (0/ 6); Myanmar (0/ 8); Maldives (0/ 9); Yemen (0/ 5); Iraq (0/ 5); Cambodia (0/ 6); Iran (0/ 6); Kazakhstan (0/ 4); Qatar (0/ 4); Jordan (0/ 4)","Azerbaijan (1); Armenia (1); Brunei Darussalam (1); China (42); Sri Lanka (1); Georgia (2); Indonesia (28); Kuwait (1); Malaysia (6); Israel (1); South Korea (34); Lebanon (1); Japan (22); Saudi Arabia (3); Oman (0); Philippines (1); Pakistan (1); Vietnam (4); India (43); Singapore (19); Thailand (13); United Arab Emirates (22); Uzbekistan (1); Turkey (1); Timor-Leste (0); Bahrain (0); Lao People's Democratic Republic (0); Bangladesh (0); Afghanistan (0); Turkmenistan (0); Syrian Arab Republic (0); Kyrgyzstan (0); Mongolia (0); Tajikistan (0); Bhutan (0); Nepal (0); Myanmar (0); Maldives (0); Yemen (0); Iraq (0); Cambodia (0); Iran (0); Kazakhstan (0); Qatar (0); Jordan (0)","Azerbaijan (4); Armenia (4); Brunei Darussalam (6); China (6); Sri Lanka (8); Georgia (4); Indonesia (7); Kuwait (6); Malaysia (8); Israel (3); South Korea (5); Lebanon (4); Japan (3); Saudi Arabia (4); Oman (4); Philippines (10); Pakistan (6); Vietnam (7); India (5); Singapore (7); Thailand (8); United Arab Emirates (6); Uzbekistan (2); Turkey (7); Timor-Leste (6); Bahrain (5); Lao People's Democratic Republic (8); Bangladesh (8); Afghanistan (5); Turkmenistan (4); Syrian Arab Republic (5); Kyrgyzstan (4); Mongolia (3); Tajikistan (5); Bhutan (5); Nepal (6); Myanmar (8); Maldives (9); Yemen (5); Iraq (5); Cambodia (6); Iran (6); Kazakhstan (4); Qatar (4); Jordan (4)","Azerbaijan; Armenia; Brunei Darussalam; China; Sri Lanka; Georgia; Indonesia; Kuwait; Malaysia; Israel; South Korea; Lebanon; Japan; Saudi Arabia; Oman; Philippines; Pakistan; Vietnam; India; Singapore; Thailand; United Arab Emirates; Uzbekistan; Turkey; Timor-Leste; Bahrain; Lao People's Democratic Republic; Bangladesh; Afghanistan; Turkmenistan; Syrian Arab Republic; Kyrgyzstan; Mongolia; Tajikistan; Bhutan; Nepal; Myanmar; Maldives; Yemen; Iraq; Cambodia; Iran; Kazakhstan; Qatar; Jordan"
"4","Asia",2,"Cyprus (0/ 0)","Cyprus (0)","Cyprus (0)","Cyprus"
"5","Africa",21,"Botswana (3/ 1); Madagascar (1/ 0); Kenya (16/ 2); Mauritius (1/ 1); Malawi (1/ 3); Niger (1/ 1); Senegal (2/ 0); South Africa (12/ 3); Tunisia (2/ 0); Zambia (1/ 3); Egypt (1/ 1); Tanzania (3/ 1); Burundi (0/ 1); Mali (0/ 1); Liberia (0/ 1); Rwanda (0/ 2); Comoros (0/ 1); Mauritania (0/ 1); Guinea (0/ 2); Eswatini (0/ 1); Democratic Republic of the Congo (0/ 1); Djibouti (0/ 1); Zimbabwe (0/ 3); South Sudan (0/ 1); Namibia (0/ 2); Ethiopia (0/ 1); Chad (0/ 1); Lesotho (0/ 1); Mozambique (0/ 1); Uganda (0/ 2); Burkina Faso (0/ 1); Angola (0/ 1); Somalia (0/ 2)","Botswana (3); Madagascar (1); Kenya (16); Mauritius (1); Malawi (1); Niger (1); Senegal (2); South Africa (12); Tunisia (2); Zambia (1); Egypt (1); Tanzania (3); Burundi (0); Mali (0); Liberia (0); Rwanda (0); Comoros (0); Mauritania (0); Guinea (0); Eswatini (0); Democratic Republic of the Congo (0); Djibouti (0); Zimbabwe (0); South Sudan (0); Namibia (0); Ethiopia (0); Chad (0); Lesotho (0); Mozambique (0); Uganda (0); Burkina Faso (0); Angola (0); Somalia (0)","Botswana (1); Madagascar (0); Kenya (2); Mauritius (1); Malawi (3); Niger (1); Senegal (0); South Africa (3); Tunisia (0); Zambia (3); Egypt (1); Tanzania (1); Burundi (1); Mali (1); Liberia (1); Rwanda (2); Comoros (1); Mauritania (1); Guinea (2); Eswatini (1); Democratic Republic of the Congo (1); Djibouti (1); Zimbabwe (3); South Sudan (1); Namibia (2); Ethiopia (1); Chad (1); Lesotho (1); Mozambique (1); Uganda (2); Burkina Faso (1); Angola (1); Somalia (2)","Botswana; Madagascar; Kenya; Mauritius; Malawi; Niger; Senegal; South Africa; Tunisia; Zambia; Egypt; Tanzania; Burundi; Mali; Liberia; Rwanda; Comoros; Mauritania; Guinea; Eswatini; Democratic Republic of the Congo; Djibouti; Zimbabwe; South Sudan; Namibia; Ethiopia; Chad; Lesotho; Mozambique; Uganda; Burkina Faso; Angola; Somalia"
"6","Africa",21,"Morocco (0/ 0)","Morocco (0)","Morocco (0)","Morocco"
"7","Africa",21,"Ghana (0/ 0)","Ghana (0)","Ghana (0)","Ghana"
"8","Africa",21,"Togo (0/ 0)","Togo (0)","Togo (0)","Togo"
"9","Africa",21,"C么te d'Ivoire (0/ 0)","C么te d'Ivoire (0)","C么te d'Ivoire (0)","C么te d'Ivoire"
"10","Africa",21,"Gabon (0/ 0)","Gabon (0)","Gabon (0)","Gabon"
"11","Africa",21,"Equatorial Guinea (0/ 0)","Equatorial Guinea (0)","Equatorial Guinea (0)","Equatorial Guinea"
"12","Africa",21,"Algeria (0/ 0)","Algeria (0)","Algeria (0)","Algeria"
"13","Africa",21,"Sudan (0/ 0)","Sudan (0)","Sudan (0)","Sudan"
"14","Africa",21,"Gambia (0/ 0)","Gambia (0)","Gambia (0)","Gambia"
"15","Africa",21,"Central African Republic (0/ 0)","Central African Republic (0)","Central African Republic (0)","Central African Republic"
"16","Africa",21,"Eritrea (0/ 0)","Eritrea (0)","Eritrea (0)","Eritrea"
"17","Africa",21,"Libya (0/ 0)","Libya (0)","Libya (0)","Libya"
"18","Africa",21,"Sao Tome and Principe (0/ 0)","Sao Tome and Principe (0)","Sao Tome and Principe (0)","Sao Tome and Principe"
"19","Africa",21,"Cape Verde (0/ 0)","Cape Verde (0)","Cape Verde (0)","Cape Verde"
"20","Africa",21,"Guinea-Bissau (0/ 0)","Guinea-Bissau (0)","Guinea-Bissau (0)","Guinea-Bissau"
"21","Africa",21,"Sierra Leone (0/ 0)","Sierra Leone (0)","Sierra Leone (0)","Sierra Leone"
"22","Africa",21,"Seychelles (0/ 0)","Seychelles (0)","Seychelles (0)","Seychelles"
"23","Africa",21,"Congo (0/ 0)","Congo (0)","Congo (0)","Congo"
"24","Africa",21,"Nigeria (0/ 0)","Nigeria (0)","Nigeria (0)","Nigeria"
"25","Africa",21,"Cameroon (0/ 0)","Cameroon (0)","Cameroon (0)","Cameroon"
"26","Oceania",4,"Australia (5/ 2); Fiji (9/ 2); New Zealand (6/ 2); Samoa (1/ 2); Papua New Guinea (0/ 3); Vanuatu (0/ 2); Nauru (0/ 2); Solomon Islands (0/ 1); Kiribati (0/ 2); Tuvalu (0/ 1); Tonga (0/ 2)","Australia (5); Fiji (9); New Zealand (6); Samoa (1); Papua New Guinea (0); Vanuatu (0); Nauru (0); Solomon Islands (0); Kiribati (0); Tuvalu (0); Tonga (0)","Australia (2); Fiji (2); New Zealand (2); Samoa (2); Papua New Guinea (3); Vanuatu (2); Nauru (2); Solomon Islands (1); Kiribati (2); Tuvalu (1); Tonga (2)","Australia; Fiji; New Zealand; Samoa; Papua New Guinea; Vanuatu; Nauru; Solomon Islands; Kiribati; Tuvalu; Tonga"
"27","Oceania",4,"Marshall Islands (0/ 0)","Marshall Islands (0)","Marshall Islands (0)","Marshall Islands"
"28","Oceania",4,"Micronesia(Federated States of) (0/ 0)","Micronesia(Federated States of) (0)","Micronesia(Federated States of) (0)","Micronesia(Federated States of)"
"29","Oceania",4,"Palau (0/ 0)","Palau (0)","Palau (0)","Palau"
