"ISO3V10","Country","EPI_regions","GEO_subregion","Population2005","GDP_capita.MRYA","landlock","landarea","density","EPI","ENVHEALTH","ECOSYSTEM","ENVHEALTH.1","AIR_E","WATER_E","BIODIVERSITY","PRODUCTIVE_NATURAL_RESOURCES","CLIMATE","DALY_SC","WATER_H","AIR_H","AIR_E.1","WATER_E.1","BIODIVERSITY.1","FOREST","FISH","AGRICULTURE","CLIMATE.1","ACSAT_pt","WATSUP_pt","DALY_pt","INDOOR_pt","PM10_pt","OZONE_H_pt","SO2_pt","OZONE_E_pt","WATQI_pt","WATSTR_pt","WATQI_GEMS.station.data","FORGRO_pt","CRI_pt","EFFCON_pt","AZE_pt","MPAEEZ_pt","EEZTD_pt","MTI_pt","IRRSTR_pt","AGINT_pt","AGSUB_pt","BURNED_pt","PEST_pt","GHGCAP_pt","CO2IND_pt","CO2KWH_pt","ACSAT","WATSUP","DALY","INDOOR","PM10","OZONE_H","SO2","OZONE_E","WATQI","WATQI_GEMS.station.data.1","WATSTR","FORGRO","CRI","EFFCON","AZE","MPAEEZ","EEZTD","MTI","IRRSTR","AGINT","AGSUB","BURNED","PEST","GHGCAP","CO2IND","CO2KWH"
"AGO","Angola","Sub-Saharan Africa","Southern Africa",15941.4,2314.4,0,1.2519e+06,0.2,39.5,8.9,70.1,8.9,49.2,61.6,58.9,81.3,74.6,0,19.8,16,49.2,61.6,58.9,95.4,87.3,61.3,74.6,19.3,20.2,0,0,40,0,98.4,0,29.4,98.3,NA,95.4,99.7,95.7,0,14,74.5,100,97.5,100,100,0,9.1,65.8,95,63,31,53,109,95,91.4,4948.8,0.7,1.36433e+09,57.5,NA,5.5,1,0.5,9.6,0,1.4,0.2549,0.0016,2.2,0,0,15.3,2,20,1.2,343
"ALB","Albania","Central and Eastern Europ","Central Europe",3129.7,4955.3,0,28346.1,34.3,84,89.3,78.6,89.3,99.1,96.5,4,79.4,93.4,99.5,91.3,66.8,99.1,96.5,4,100,62.5,75.6,93.4,89.5,93.2,99.5,47.4,70.1,99.1,98.5,99.8,93,90.3,93,100,5.5,1.6,NA,6,25.1,100,100,90.2,100,78.9,9.1,98.8,85,96.3,91,96,0.3,50,55.5,15.8,0.6,680845,95.8,95.8,0,1,0,0.2,NA,0.6,0.7492,0,0,6.2,0,2.9,2,2.9,1.9,34
"ARE","United Arab Emirates            ","Middle East and North Africa","Arabian Peninsula",4495.8,22698.3,0,74776.6,8.7,64,89.8,38.2,89.8,85.1,27.1,36.6,74.1,26.6,98.9,98.8,62.4,85.1,27.1,36.6,100,50,72.3,26.6,97.7,100,98.9,94.7,11.2,100,70.2,100,0,100,NA,100,100,2.3,NA,1,0,100,51.8,100,100,96.1,13.6,38.6,32.1,9,98,100,0.6,5,125.6,0,12.6,26.3,39.9,NA,41.6,1,0.5,0.2,NA,0.1,1,0.0034,41,0,0,0.5,3,34.1,5.5,844
"ARG","Argentina","Latin America and Caribbe","South America",38747.2,13652.4,0,2.7363e+06,1.3,81.8,91.1,72.5,91.1,87.3,74.9,33.6,71.5,82.3,98,91.3,76.9,87.3,74.9,33.6,75.9,58.8,79.9,82.3,89.5,93.2,98,94.7,51.3,92.4,98.8,75.7,76.4,100,76.4,75.9,39.8,33.9,40,2,17.5,100,74.6,78.4,100,55.7,90.9,87.1,92.7,67,91,96,1.1,5,77.9,140.4,0.5,9.96327e+07,85.8,85.8,24.1,0.9,0.2,3.4,40,0.2,0.8248,0.0044,21.6,13.7,0,6,20,8.9,1.4,306
"ARM","Armenia","Middle East and North Africa","Eastern Europe",3016.3,5011,1,28272.7,30.3,77.8,88,67.5,88,99.4,28,16,82.1,87.2,98.2,83.3,72.5,99.4,28,16,70.1,NA,94.2,87.2,80.1,86.4,98.2,72.2,59,100,98.8,100,31.7,100,NA,70.1,37.7,10.4,0,100,NA,NA,97,94.5,100,79.5,100,98,78.3,85.1,83,92,1,26.4,68.7,0,0.5,0,58.9,NA,68.6,0.9,0.2,1,0,10,NA,NA,2.5,3.5,0,2.8,22,3.3,2.3,138
"AUS","Australia","East Asia and the Pacific","Australia + New Zealand",20155.1,30677.9,0,7.63464e+06,0.3,79.8,99.3,60.4,99.3,84.9,62.5,78.1,91.8,42.5,99.6,100,97.9,84.9,62.5,78.1,100,96.7,78.7,42.5,100,100,99.6,94.7,100,100,69.9,100,75.3,73.4,75.3,100,86.1,79,69.4,78,93.5,100,50.7,79.6,99.9,63.3,100,45.4,76.2,5.9,100,100,0.2,5,15.9,0,12.7,11575.3,85.2,85.2,45.7,1,0.4,7.9,69.4,7.8,0.0651,0.0014,41.9,12.9,0,5,22,30.5,2.5,873
"AUT","Austria","Europe","Western Europe",8189.4,30735.8,1,83160.6,16.3,89.4,98.1,80.7,98.1,97,79.9,71.6,88.2,79.9,99.8,100,92.8,97,79.9,71.6,100,NA,76.4,79.9,100,100,99.8,94.7,87.8,99.2,94.4,99.6,59.8,100,59.8,100,80.1,63,NA,100,NA,NA,100,63.2,22.8,96,100,81.6,82.3,75.7,100,100,0.1,5,34.5,15.7,2.4,1.82848e+06,75.9,75.9,0,1.1,0.4,6.3,NA,10,NA,NA,0,23.3,36,0.5,22,11.8,2.1,225
"AZE","Azerbaijan","Central and Eastern Europ","Eastern Europe",8410.8,5953.4,1,85359.9,14.6,72.2,76.4,67.9,76.4,97.7,48.5,29,85.7,77.1,93,53.6,66.2,97.7,48.5,29,100,NA,71.4,77.1,46.2,61,93,48.4,67,100,95.4,100,31.7,100,NA,100,46.2,11.9,NA,100,NA,NA,82.9,91.1,100,78.4,4.5,88.7,97.1,45.6,54,77,3.9,49,59.2,0,1.9,0,58.9,NA,31.4,1,0.2,1.2,NA,10,NA,NA,14.6,5.6,0,2.9,1,8.1,1.1,505
"BDI","Burundi","Sub-Saharan Africa","Eastern Africa",7547.5,629.8,1,25227,91,54.7,37.6,71.7,37.6,99.5,62.8,62.5,48,81.5,26.1,44.7,53.5,99.5,62.8,62.5,0,NA,95.9,81.5,25.1,64.3,26.1,0,84.1,99.4,99.3,99.6,25.6,63,NA,0,84.1,40.9,NA,100,NA,NA,100,92,100,87.7,100,94,100,50.5,36,79,41,95,38.9,11.6,0.3,1.4636e+06,55.3,NA,0,0.6,0.4,4.1,NA,10,NA,NA,0,5.1,0,1.7,22,5.3,0.8,459
"BEL","Belgium","Europe","Western Europe",10419.1,30004.2,0,30553.3,71.2,78.4,98.8,58,98.8,50.2,52.3,10,76.1,69.5,99.6,100,96,50.2,52.3,10,100,47.4,80.8,69.5,100,100,99.6,94.7,95.4,99.7,0.6,99.8,59.6,100,59.6,100,9.6,11.5,NA,0,0,94.9,100,87.1,22.8,98.6,95.5,77.7,59.7,71.1,100,100,0.2,5,25.4,6.4,41.9,891092,75.7,75.7,49.8,1.1,0,1.2,NA,0,1,-0.001,0,8.2,36,0.2,21,13.8,3.6,268
"BEN","Benin","Sub-Saharan Africa","Western Africa",8438.9,1015.9,0,115828,10.5,56.1,40.2,71.9,40.2,91.6,60.1,86,65.8,71.2,40.5,32.8,47.1,91.6,60.1,86,17.8,91.5,88.2,71.2,21.6,44,40.5,0.4,80.7,73,99.4,83.8,20.1,45,NA,17.8,98.9,98.7,NA,0,83,100,100,87.9,100,57.9,95.5,93.7,96.3,23.5,33,67,33,94.6,42.9,500.7,0.2,6.63885e+07,52,NA,0,0.8,0.5,9.9,NA,0,0.1701,0.0033,0,7.7,0,5.7,21,5.5,1.1,710
"BFA","Burkina Faso","Sub-Saharan Africa","Western Africa",13227.8,1142.9,1,275748,5.2,44.3,16.2,72.5,16.2,90.7,53.4,64.7,76.1,77.6,8.1,16.9,31.8,90.7,53.4,64.7,64.5,NA,87.7,77.6,0,33.8,8.1,0,38,83.3,99.8,81.6,20.1,82.4,NA,64.5,46.1,83.2,NA,100,NA,NA,96,99.3,100,79.6,63.6,97.3,99.3,36.3,13,61,51,95,93.7,310.2,0.1,7.53164e+07,52,NA,12.2,0.9,0.2,8.3,NA,10,NA,NA,3.4,0.4,0,2.8,14,3.7,0.9,591
"BGD","Bangladesh","South Asia","South Asia",141822,1916.2,0,136248,95,58,53.6,62.4,53.6,95.7,74.8,5.5,47.1,77.1,74.8,42.3,22.5,95.7,74.8,5.5,83.1,0,58.2,77.1,28.7,55.9,74.8,6.4,0,99.6,96.1,95.2,59.3,81.8,59.3,83.1,4.4,9.5,NA,1,0,NA,100,0,91.7,99.3,0,100,91.3,40,39,74,14,88.9,140,7.7,1.6,1.95004e+07,75.5,75.5,8.8,1,0,0.9,NA,0.1,1,NA,0,68,3.9,0.1,0,1.3,1.4,557
"BGR","Bulgaria","Central and Eastern Europ","Central Europe",7726,8753.9,0,111307,14,78.5,94.7,62.2,94.7,83.9,76.1,21.3,78.6,63.3,99.6,98.6,81,83.9,76.1,21.3,100,52.3,83.5,63.3,98.8,98.3,99.6,82.1,70.3,100,67.7,100,92.4,88.9,92.4,100,26.6,22.7,NA,0,87.7,16.9,94,71,93.5,59.2,100,88.6,49.5,51.7,99,99,0.2,17,55.3,0,13.6,1308.5,95.4,95.4,36.5,1.1,0.1,2.3,NA,0,0.1234,-0.0162,5.1,18.4,3,5.5,22,8.1,4.3,448
"BIH","Bosnia and Herzegovina          ","Central and Eastern Europ","Central Europe",3907.1,5600,0,51295.2,1.1,79.7,93.1,66.3,93.1,91.8,92.4,1.2,88.6,68.9,99.5,94.5,79,91.8,92.4,1.2,100,NA,77.2,68.9,94.2,94.9,99.5,47.7,100,99.8,83.7,99.9,84.8,99,84.8,100,1.9,0.5,NA,100,NA,NA,100,96.9,100,79.9,9.1,93.9,79.4,33.3,95,97,0.3,49.7,19.4,4,6.9,246209,90.9,90.9,0,1.1,0,0,NA,10,NA,NA,0,2,0,2.7,2,5.4,2.3,619
"BLR","Belarus","Central and Eastern Europ","Eastern Europe",9755.1,7809.6,1,207013,8.4,80.5,95.4,65.6,95.4,98.7,64.8,23.3,88.4,68.3,99.5,90.6,92,98.7,64.8,23.3,100,NA,76.8,68.3,81.3,100,99.5,80,100,100,97.4,100,31.7,89.3,NA,100,26.4,20.3,NA,100,NA,NA,100,86.8,100,88.2,9.1,86.1,50.9,67.8,84,100,0.3,19,6.7,0,1.1,0,58.9,NA,1.8,1.1,0.1,2,NA,10,NA,NA,0,8.3,0,1.6,2,9.4,4.2,299
"BLZ","Belize","Latin America and Caribbe","Meso America",269.7,6460,0,22290.4,0,71.7,81.3,62.2,81.3,99.5,78.5,89.2,81.4,39.6,92.1,61.4,79.8,99.5,78.5,89.2,100,62.4,81.7,39.6,38,84.7,92.1,54.7,100,89.4,99.1,99.8,57.1,96.7,NA,100,100,96.7,NA,71,83.7,41,100,100,100,99.5,9.1,0,80.4,38.4,47,91,4.4,43,18.1,195.4,0.4,690736,74.2,NA,0,1,0.5,9.7,NA,7.1,0.1629,-0.0115,0,0,0,0.1,2,54.1,2.2,571.1
"BOL","Bolivia","Latin America and Caribbe","South America",9182,2579.2,1,1.06913e+06,1.3,64.7,61.2,68.2,61.2,49.4,70.7,78.4,84.5,61.3,73,55.7,43.2,49.4,70.7,78.4,90.2,NA,78.9,61.3,36.8,74.5,73,63.8,44.3,0,98.8,0,43.7,100,43.7,90.2,100,92.4,42.9,100,NA,NA,100,100,100,76.3,18.2,44.5,91.3,48.1,46,85,15,34.4,86.2,2509.2,0.5,4.30776e+08,66.2,66.2,2.1,1,0.5,9.2,42.9,10,NA,NA,0,0,0,3.2,4,31,1.4,481
"BRA","Brazil","Latin America and Caribbe","South America",186405,7825.8,0,8.51104e+06,2.5,82.7,86.9,78.4,86.9,48.9,85.7,53.9,89,83.3,93.5,76.9,83.8,48.9,85.7,53.9,81.9,89.7,95.4,83.3,70.8,83,93.5,86.4,93.2,59.6,97.8,0,73.9,63.2,73.9,81.9,70.3,78.7,32.1,9,79.4,100,99.3,96.8,95.8,93.9,90.9,80.9,78,90.9,75,90,3.6,12.9,28.1,748.9,0.9,2.66099e+09,84.3,84.3,2.3,1,0.4,7.9,32.1,0.9,0.2059,0.0073,0.6,2,2,0.8,20,12.1,2.4,84
"BWA","Botswana","Sub-Saharan Africa","Southern Africa",1764.9,11313.3,1,559516,0.3,68.7,68.6,68.7,68.6,90.6,47.8,100,75.7,61.4,88.1,61.8,36.3,90.6,47.8,100,79.2,NA,72.3,61.4,32.2,91.5,88.1,31.6,59.1,0,98.7,82.6,29.4,77.5,NA,79.2,100,100,NA,100,NA,NA,62.9,100,100,94,4.5,84.1,100,0,42,95,6.6,65,68.6,2415,0.6,7.13236e+07,57.5,NA,30.6,1,0.5,10,NA,10,NA,NA,31.6,0,0,0.8,1,10.5,0.8,1848
"CAF","Central African Republic        ","Sub-Saharan Africa","Central Africa",4037.7,1111.5,1,622868,0,56,35.2,76.9,35.2,55.4,60.6,100,84.5,74.8,36.9,36.1,30.7,55.4,60.6,100,97.2,NA,71.8,74.8,14.6,57.6,36.9,0,76.8,0,98.3,12.5,21.8,93.8,NA,97.2,100,100,NA,100,NA,NA,100,100,100,0,59.1,77.1,100,47.3,27,75,35,95,47.6,4524.8,0.7,3.58935e+08,53,NA,0.5,1,0.5,10,NA,10,NA,NA,0,0,0,21.4,13,14.1,0.8,489.1
"CAN","Canada","North America","North America",32268.2,30277.9,0,9.45891e+06,0.4,86.6,98.9,74.4,98.9,82.2,92.9,67.6,77,69.3,99.6,100,96.3,82.2,92.9,67.6,100,50.7,80.4,69.3,100,100,99.6,94.7,100,91.8,80.5,84,87.6,90.3,87.6,100,92.7,72.7,75,5,67.5,33.8,98.4,59.6,55,89,100,59.7,69.7,78.5,100,100,0.2,5,19.1,152.1,8.3,6.55615e+07,92.5,92.5,1.7,1,0.5,7.3,75,0.5,0.3245,-0.0129,1.4,25.6,21,1.5,22,23.1,2.9,199
"CHE","Switzerland","Europe","Western Europe",7252.3,32775.2,1,38975.1,39.3,95.5,98.9,92.1,98.9,97.1,94.5,82.7,89.1,94.6,99.8,100,96.1,97.1,94.5,82.7,100,NA,78.3,94.6,100,100,99.8,94.7,96.3,98.5,94.9,99.3,88.9,80.5,88.9,100,100,65.3,NA,100,NA,NA,100,93.2,0,98.1,100,89.1,97.4,97.2,100,100,0.1,5,24.4,27.3,2.1,2.75599e+06,93.3,93.3,0,1,0.5,6.5,NA,10,NA,NA,0,4.3,68,0.3,22,7.9,1,26
"CHL","Chile","Latin America and Caribbe","South America",16295.1,10938.6,0,721229,2.2,83.4,93.3,73.6,93.3,87.6,69.5,42.7,87.8,78.4,98.2,90.5,86.3,87.6,69.5,42.7,100,69,94.3,78.4,89.5,91.5,98.2,94.7,71,100,75.2,100,57.3,90.7,57.3,100,80.7,61.5,28.6,0,87.2,50.7,98.8,99.4,86.5,86.9,100,92.5,81.3,61.5,91,95,1,5,54.4,0,10.5,153.1,74.3,74.3,16.5,1.1,0.4,6.2,28.6,0,0.1276,-0.0096,1,0.4,6.3,1.8,22,6.1,2.1,357
"CHN","China","East Asia and the Pacific","Northeast Asia",1.31584e+06,6620.7,0,9.19809e+06,33.4,65.1,71.4,58.8,71.4,44.9,69.6,56.7,75.2,52.7,94.6,47.7,48.6,44.9,69.6,56.7,100,44,81.5,52.7,34.5,61,94.6,15.8,56.1,99,86.8,3,60.7,96.7,60.7,100,74.7,65.5,45.7,3,13.1,74.9,81,83.2,98.1,86,59.1,93.3,49.7,15,44,77,3,80,72.2,18,5.6,3.9771e+08,76.4,76.4,19.6,1.1,0.4,6.5,45.7,0.3,0.8694,-0.0049,16.1,10.7,0.9,1.9,13,5.7,4.3,788
"CIV","Cote d'Ivoire","Sub-Saharan Africa","Western Africa",18153.9,1470.8,0,320329,6.8,65.2,57.4,73,57.4,83.4,49.8,63.9,93.3,75.6,47.7,49.6,84.4,83.4,49.8,63.9,100,91.2,88.7,75.6,26.3,72.8,47.7,87.1,84.6,78.8,99.1,67.7,1.7,100,1.7,100,82.2,94.7,50,0,82.4,100,99.8,98.3,100,68.2,77.3,85.8,96.9,44.2,37,84,29,12.3,38.3,392.1,0.4,1.32395e+08,40.9,40.9,1.8,1,0.4,9.5,50,0,0.1759,0.0062,0.2,1.1,0,4.3,17,9.6,1.1,518
"CMR","Cameroon","Sub-Saharan Africa","Central Africa",16321.9,2079.4,0,465765,7,63.8,47.7,79.9,47.7,83.6,60.9,53.4,66.9,97,51.3,42.5,45.8,83.6,60.9,53.4,78.4,52.4,69.9,97,42.7,42.3,51.3,12.8,62.7,77.7,99,68.2,21.8,84.7,NA,78.4,82.6,61.6,14.3,100,9.4,95.4,100,79.8,100,60.5,9.1,95.2,100,95.8,51,66,27,82.8,64.3,412.7,0.4,1.30496e+08,53,NA,0,1,0.4,6.2,14.3,10,0.9055,-0.0009,0,12.8,0,5.4,2,4.7,0.2,39
"COD","Dem. Rep. Congo","Sub-Saharan Africa","Central Africa",57548.7,700,0,2.31341e+06,2.7,47.3,12.6,82,12.6,49.7,69.2,73.2,70.6,95.2,0,13.2,37.2,49.7,69.2,73.2,94.8,46.3,70.8,95.2,18.1,8.3,0,0,72.7,40.9,99.5,0,38.5,100,38.5,94.8,100,86.3,33.3,0,86.9,5.6,100,99.9,100,40.3,13.6,85.9,100,99.7,30,46,64,95,52.5,1094.6,0.2,1.18256e+09,63,63,0,1,0.5,8.6,33.3,0,0.1308,-0.0184,0,0.1,0,8.1,3,9.5,0.8,3
"COG","Congo","Sub-Saharan Africa","Central Africa",3998.9,1159.4,0,343235,2.5,69.7,51,88.4,51,87.3,60.9,93.4,90.5,94.6,76.6,21.7,29.2,87.3,60.9,93.4,98.4,74.1,99.1,94.6,14.6,28.7,76.6,10.5,45,34.8,94.3,80.2,21.8,98.5,NA,98.4,100,94.5,NA,8,64.6,83.6,100,100,100,95.7,100,83.9,100,100,27,58,13,85,85.4,1208.3,2.4,8.10008e+07,53,NA,0,1,0.5,9.5,NA,0.8,0.3537,-0.0032,0,0,0,0.6,22,10.6,0.1,0
"COL","Colombia","Latin America and Caribbe","South America",45600.2,6886,0,1.14118e+06,5.4,88.3,91.4,85.2,91.4,98.3,74.9,75,94.8,87.1,94.6,85.9,90.6,98.3,74.9,75,100,99,85.5,87.1,83.6,88.1,94.6,79.5,97.3,99.5,98.8,97.8,53,100,53,100,93.7,94,37.2,75,99,NA,96.8,99.9,52.8,91.6,86.4,94,85,82.4,86,93,3,19.5,23.2,10.2,0.5,8.95623e+06,71.7,71.7,2.8,1,0.5,9.4,37.2,7.5,0.0104,NA,2.7,0,22,1.1,19,5.3,1.9,163
"CRI","Costa Rica","Latin America and Caribbe","Meso America",4327.2,9646.5,0,51015,8.8,90.5,93.2,87.7,93.2,99.3,78.5,48,97.1,98.3,98.2,92.8,83.8,99.3,78.5,48,100,99.1,92,98.3,90.6,94.9,98.2,75.8,83.8,100,98.6,100,57.1,94.9,NA,100,95,15.9,75,6,98.2,100,100,93.6,94.8,99,72.7,97.8,100,97.1,92,97,1,23,39.3,0,0.6,0,74.2,NA,0,1,0.5,1.6,75,0.6,0.0175,0.0085,0,4.1,2.4,0.1,16,3.4,0.6,27
"CUB","Cuba","Latin America and Caribbe","Caribbean",11269.4,4100,0,111199,24.3,80.7,96.4,65.1,96.4,96.6,72.2,28,86.6,64.5,98.2,91.2,97.9,96.6,72.2,28,100,78.6,81,64.5,97.7,84.7,98.2,94.7,100,99.9,93.2,100,76.1,78.4,76.1,100,34.4,24.5,47.2,6,88.6,68.7,100,46,100,95.5,63.6,95.4,98.1,0,98,91,1,5,19.1,1.1,2.9,194058,85.6,85.6,28.7,1.2,0.2,2.5,47.2,0.6,0.1141,-0.0061,0,34.2,0,0.6,14,4.6,1,987
"CYP","Cyprus","Middle East and North Africa","Central Europe",835.3,20202.7,0,9273.16,13.9,79.2,96.8,61.6,96.8,91.6,67.2,29.3,97.3,56,99.1,100,88.8,91.6,67.2,29.3,100,94.5,NA,56,100,100,99.1,94.7,77.3,100,83.3,100,34.4,16.9,34.4,100,65.7,22.1,NA,0,95.3,93.8,NA,100,22.8,95.7,95.5,81.6,71.7,14.6,100,100,0.5,5,47,0,7.1,0,60.5,60.5,0,1,0.3,2.2,NA,0,0.0475,-0.0012,NA,0,36,0.6,21,11.8,2.8,792
"CZE","Czech Rep.","Central and Eastern Europ","Central Europe",10219.6,19699.5,1,78600.6,30.5,76.8,91.6,62,91.6,78.3,50.2,38.4,90.9,62.3,99.8,98.8,68,78.3,50.2,38.4,100,NA,81.9,62.3,97.7,100,99.8,22.4,97.5,99.9,56.6,100,3.3,97.2,3.3,100,49.7,27.1,NA,0,NA,NA,100,54.7,61.4,93.3,100,76.7,65.7,44.4,98,100,0.1,73.7,23,1.1,18.3,155901,41.9,41.9,2.6,1.1,0.2,2.7,NA,0,NA,NA,0,28.6,18,0.9,22,14.3,3.2,516
"DEU","Germany","Europe","Western Europe",82689.2,27437.6,0,356026,68.9,86.3,99.4,73.3,99.4,91.1,79.2,48.2,76.5,76.2,99.8,100,97.8,91.1,79.2,48.2,100,51,78.5,76.2,100,100,99.8,94.7,100,99.6,84,98.2,76,24.3,76,100,62.7,25.2,NA,100,2.1,100,100,72.8,22.8,96.7,100,80.8,85.5,62.4,100,100,0.1,5,19.3,6.7,6.7,7.5262e+06,85.6,85.6,15.9,1.2,0.3,2.5,NA,10,0.9795,0.0018,0,17.2,36,0.5,22,12.2,1.8,349
