"ISO3V10","Country","EPI_regions","GEO_subregion","Population2005","GDP_capita.MRYA","landlock","landarea","density","EPI","ENVHEALTH","ECOSYSTEM","ENVHEALTH.1","AIR_E","WATER_E","BIODIVERSITY","PRODUCTIVE_NATURAL_RESOURCES","CLIMATE","DALY_SC","WATER_H","AIR_H","AIR_E.1","WATER_E.1","BIODIVERSITY.1","FOREST","FISH","AGRICULTURE","CLIMATE.1","ACSAT_pt","WATSUP_pt","DALY_pt","INDOOR_pt","PM10_pt","OZONE_H_pt","SO2_pt","OZONE_E_pt","WATQI_pt","WATSTR_pt","WATQI_GEMS.station.data","FORGRO_pt","CRI_pt","EFFCON_pt","AZE_pt","MPAEEZ_pt","EEZTD_pt","MTI_pt","IRRSTR_pt","AGINT_pt","AGSUB_pt","BURNED_pt","PEST_pt","GHGCAP_pt","CO2IND_pt","CO2KWH_pt","ACSAT","WATSUP","DALY","INDOOR","PM10","OZONE_H","SO2","OZONE_E","WATQI","WATQI_GEMS.station.data.1","WATSTR","FORGRO","CRI","EFFCON","AZE","MPAEEZ","EEZTD","MTI","IRRSTR","AGINT","AGSUB","BURNED","PEST","GHGCAP","CO2IND","CO2KWH"
"DJI","Djibouti","Sub-Saharan Africa","Eastern Africa",793.1,1982.4,0,20903.5,4.2,50.5,57.2,43.9,57.2,99.8,49.8,0.2,68.5,42.3,36.9,66.6,88.2,99.8,49.8,0.2,100,23.9,81.6,42.3,78.9,54.2,36.9,94.4,76.2,100,99.7,100,25.6,100,NA,100,0,0,0,2,23.9,NA,46,100,100,89.5,72.7,6.2,90.5,30.1,82,73,35,5.3,48.3,0,0.1,0,55.3,NA,23.6,1,0,0,0,0.2,0.7608,NA,46,0,0,1.4,16,50.9,1.5,648.6
"DNK","Denmark","Europe","Western Europe",5430.6,31422.5,0,42484.5,26.5,84,99.3,68.7,99.3,96.1,83.4,13.9,56.1,81.8,99.6,100,97.8,96.1,83.4,13.9,100,3.9,64.5,81.8,100,100,99.6,94.7,100,99.8,92.3,99.9,69.2,100,69.2,100,9.6,1.1,NA,31,5.9,1.8,100,0,22.8,99.6,100,81.8,94.1,69.4,100,100,0.2,5,20,4.5,3.3,206460,81.5,81.5,2.3,1,0,0.1,NA,3.1,0.9408,-0.0191,0,63.4,36,0.1,22,11.7,1.3,284
"DOM","Dominican Rep.","Latin America and Caribbe","Caribbean",8894.9,7617.8,0,48092,48.2,83,88.8,77.2,88.8,97.4,68.5,65.7,85.5,78.7,91,82.9,90.4,97.4,68.5,65.7,100,64.8,91.7,78.7,74.3,91.5,91,84.1,92,100,94.8,100,59.4,97.5,NA,100,53.2,26.4,83.3,100,83,46.6,86.5,78.2,100,98.2,95.5,98.1,100,38.1,78,95,5,15.1,29.6,0,2.2,0,75.6,NA,20.4,1,0.3,2.6,83.3,10,0.1697,-0.0104,11.5,13.8,0,0.3,21,3.2,0.8,574
"DZA","Algeria","Middle East and North Africa","Northern Africa",32853.8,6375.6,0,2.3025e+06,3.5,77,82.2,71.8,82.2,98.7,36.5,73.9,86.7,74.6,85.6,82.6,74.9,98.7,36.5,73.9,100,91.6,68.4,74.6,90.6,74.5,85.6,94.7,42.7,99.8,97.8,99.5,0,38.7,0,100,89.5,62.1,NA,5,83.3,100,62.7,11.6,100,99.5,68.2,96.5,99.6,27.7,92,85,8,5,88.1,4,0.9,1.88583e+06,37.7,37.7,24.5,1.1,0.4,6.2,NA,0.5,0.1674,0.0015,31.7,55.9,0,0.1,15,4,0.9,671
"ECU","Ecuador","Latin America and Caribbe","South America",13228.4,3981.6,0,256271,7.9,84.4,91.7,77,91.7,98.9,72.2,79.6,61.8,80.1,91,88.5,96.3,98.9,72.2,79.6,47.2,47.4,90.9,80.1,87.1,89.8,91,94.7,95.9,100,97.8,100,65.6,68.4,65.6,47.2,90.1,88.9,39.5,100,94.8,0,94.5,98.4,76.4,98.6,86.4,94.8,85.3,60.2,89,94,5,5,24.9,0,0.9,0,79.3,79.3,19.2,0.9,0.5,8.9,39.5,10,0.0517,-0.0237,4.7,1,11,0.2,19,4.9,1.9,369
"EGY","Egypt","Middle East and North Africa","Northern Africa",74032.9,4031,0,968071,5.1,76.3,79.6,73,79.6,90.1,67.6,77.2,82,68.9,89.2,80.8,59.3,90.1,67.6,77.2,100,76.8,69.3,68.9,64.9,96.6,89.2,94.7,3.4,100,80.3,100,63.4,100,63.4,100,93.7,73,NA,32,53.6,100,32.4,27.8,100,99.9,86.4,98,59.4,49.2,70,98,6,5,134.8,0,8.3,0,78,78,25.5,1.1,0.5,7.3,NA,3.2,0.464,0.0071,57.5,45.7,0,0,19,3.3,3.6,471
"ERI","Eritrea","Sub-Saharan Africa","Eastern Africa",4401.4,947.1,0,121863,4,59.4,47.2,71.7,47.2,100,62.8,42.4,89.8,75,63.9,16,44.7,100,62.8,42.4,98.8,89.1,81.6,75,0,32.1,63.9,16.1,45.6,100,99.9,100,25.6,97.9,NA,98.8,68.8,43.5,NA,0,78.2,100,100,100,100,94.2,13.6,100,100,25,9,60,20,79.7,84.7,0,0,0,55.3,NA,0,1,0.3,4.4,NA,0,0.2182,0.0074,0,0,0,0.8,3,2.1,0.4,696
"ESP","Spain","Europe","Western Europe",43064.2,24681,0,505284,11.6,83.1,98.2,68.1,98.2,93.7,64.4,28.7,84.1,73.7,99.6,100,93.4,93.7,64.4,28.7,100,83.6,68.5,73.7,100,100,99.6,94.7,88.8,99.7,88,99.3,69.8,72.9,69.8,100,35.6,23.2,50,6,79.6,87.7,81.2,50.1,22.8,93,95.5,83.3,80.3,57.5,100,100,0.2,5,33.3,4.6,5.1,2.85172e+06,81.8,81.8,37.1,1.1,0.2,2.3,50,0.6,0.2041,-0.0024,16,31.6,36,0.9,21,10.9,2.2,394
"EST","Estonia","Europe","Central Europe",1329.7,15885,0,43178.8,3.4,85.2,97.7,72.7,97.7,95.3,79,72.4,95.2,61.8,99.6,98.2,93.1,95.3,79,72.4,89.8,98.4,97.5,61.8,96.5,100,99.6,82.7,100,100,90.5,100,60.7,100,60.7,89.8,93.7,90,NA,27,96.8,100,100,94.3,100,97.7,95.5,77.1,80,28.3,97,100,0.2,16.4,15.5,0,4,0,76.4,76.4,2.5,1,0.5,9,NA,2.7,0.0322,0.0014,0,3.6,0,0.3,21,14.1,2.2,665
"ETH","Ethiopia","Sub-Saharan Africa","Eastern Africa",77430.7,1030.2,1,1.12372e+06,21,58.8,35,82.7,35,95.5,52.8,71.2,71.6,97.2,49.5,0,40.9,95.5,52.8,71.2,69.8,NA,73.4,97.2,0,0,49.5,0,52.9,98.6,99.5,91.5,25.6,80,NA,69.8,70.4,68.1,75,100,NA,NA,94.3,98.4,100,51.5,22.7,100,92.4,99.2,13,22,28,95,76,26.3,0.2,3.49888e+07,55.3,NA,18.2,0.9,0.4,6.8,75,10,NA,NA,4.8,1,0,6.6,5,1.7,1.4,7
"FIN","Finland","Europe","Western Europe",5249.1,30420.3,0,317001,2.4,91.4,99.3,83.6,99.3,97.7,99,78.3,91.3,76.8,99.6,100,97.9,97.7,99,78.3,100,94.4,79.4,76.8,100,100,99.6,94.7,100,100,95.4,100,98.4,100,98.4,100,98.9,76.8,NA,9,90.3,98.5,100,75.8,22.8,98.3,100,78.8,72.7,79.1,100,100,0.2,5,19.1,0.2,1.9,6251.3,99.1,99.1,0.4,1,0.5,7.7,NA,0.9,0.0969,-0.0003,0,15.3,36,0.2,22,13.2,2.7,194
"FJI","Fiji","East Asia and the Pacific","South Pacific",847.7,5529.4,0,18351.7,1.9,69.7,78.2,61.2,78.2,99.8,86.2,8.7,99,54.3,96.4,38.6,81.3,99.8,86.2,8.7,100,97.9,NA,54.3,67.3,10,96.4,57.9,95.3,100,99.6,100,72.5,93.9,72.5,100,4.9,0,30,0,95.9,100,NA,NA,100,NA,90.9,11.2,91.1,60.6,72,47,2,40,25.6,0,0.2,0,83.5,83.5,0,1,0,0,30,0,0.0411,0.0052,NA,NA,0,NA,20,48.2,1.5,365.8
"FRA","France","Europe","Western Europe",60495.5,28876.5,0,547107,17.9,87.8,99.4,76.2,99.4,95.9,76.6,27.4,86,85.7,99.8,100,97.8,95.9,76.6,27.4,100,84,73.9,85.7,100,100,99.8,94.7,100,99.4,94.2,97.5,62.5,89,62.5,100,34.7,25.1,50,0,75.2,92.8,100,54.2,22.8,97.1,95.5,86.7,80.2,90.2,100,100,0.1,5,13.8,12,2.4,1.02716e+07,77.4,77.4,8.4,1.1,0.2,2.5,50,0,0.248,-0.0014,0,29,36,0.4,21,9.1,2.2,91
"GAB","Gabon","Sub-Saharan Africa","Central Africa",1383.8,5835,0,265146,0.1,77.3,75.4,79.1,75.4,97.1,60.9,73,89.9,81.4,82,52.4,85.3,97.1,60.9,73,99,88.5,82.4,81.4,25.1,79.6,82,70.9,100,84.4,96,98.1,21.8,100,NA,99,100,94.3,NA,10,76.9,100,100,98.7,100,99.5,13.6,89.3,94.6,60.3,36,88,10,27.6,6.4,288.8,1.7,7.60648e+06,53,NA,0,1,0.5,9.4,NA,1,0.2309,0.0142,0,0.8,0,0.1,3,7.8,1.2,368
"GBR","United Kingdom","Europe","Western Europe",59667.8,30237.2,0,247169,42.8,86.3,99.4,73.2,99.4,91,87.4,47.2,74.7,74.6,99.8,100,97.9,91,87.4,47.2,100,47.3,76.9,74.6,100,100,99.8,94.7,100,100,82.1,99.9,84.2,84.7,84.2,100,100,19,66.7,3,14.1,80.5,100,67.7,22.8,98.4,95.5,83.1,91.6,49,100,100,0.1,5,15.1,0.7,7.6,495934,90.5,90.5,8.4,1.1,0.5,1.9,66.7,0.3,0.8587,-0.0038,0,20.5,36,0.2,21,11,1.4,473
"GEO","Georgia","Central and Eastern Europ","Eastern Europe",4474.4,3303.9,0,69236.1,14.1,82.2,88.4,75.9,88.4,99.8,62,18.6,83.4,92.7,99.5,81.2,73.5,99.8,62,18.6,100,77.7,72.4,92.7,93,69.4,99.5,54.7,79,100,99.6,100,31.7,39.6,NA,100,28.5,14.7,NA,0,85.2,70.2,74.7,95.3,100,78.5,13.6,96,91.7,90.4,94,82,0.3,43,44.9,0,0.2,0,58.9,NA,7,1,0.1,1.5,NA,0,0.1482,-0.0058,21.5,3,0,2.9,3,4.3,1.4,89
"GHA","Ghana","Sub-Saharan Africa","Western Africa",22112.8,2299.1,0,231730,20.7,70.8,59,82.6,59,86.9,71.3,63.8,77.9,92.6,74.8,30.8,55.5,86.9,71.3,63.8,61.4,90.5,81.7,92.6,4.1,57.6,74.8,8.4,87.5,85.8,99.2,74.6,42.6,90.7,42.6,61.4,84.1,71.2,100,0,81.1,100,100,83.3,100,47.7,77.3,99.8,100,78,18,75,14,87,34.8,263.4,0.3,1.04195e+08,65.5,65.5,0,0.9,0.4,7.1,100,0,0.1894,0.004,0,10.6,0,7.1,17,2.4,0.8,204
"GIN","Guinea","Sub-Saharan Africa","Western Africa",9402.1,2107.9,0,245860,1.7,51.3,31.3,71.4,31.3,83.4,60.1,32.4,82.8,81.8,40.5,9.6,34.5,83.4,60.1,32.4,88.5,78,81.7,81.8,4.1,15.1,40.5,0,57.4,57.5,99.4,67.3,20.1,42.7,NA,88.5,53.8,8.5,50,0,56.1,100,100,100,100,58.6,50,94.5,99.6,51.3,18,50,33,95,70.6,786.3,0.3,1.33979e+08,52,NA,0,1,0.3,0.9,50,0,0.4392,0.0012,0,0,0,5.6,11,5.1,0.9,451.8
"GNB","Guinea-Bissau","Sub-Saharan Africa","Western Africa",1586.3,744.8,0,34105.8,2.6,49.7,36.7,62.8,36.7,99.2,60.1,46.5,83.5,58.7,40.5,27.2,38.4,99.2,60.1,46.5,91.4,82,77,58.7,24,30.4,40.5,0,51.1,89.8,99.4,98.9,20.1,99.8,NA,91.4,100,39.4,NA,0,64,100,100,100,100,80.2,4.5,55,90.9,30.1,35,59,33,95,78.1,188.7,0.3,4.34326e+06,52,NA,0,1,0.5,3.9,NA,0,0.3596,0.0122,0,0,0,2.7,1,25.6,1.5,648.6
"GRC","Greece","Europe","Western Europe",11119.9,21674.6,0,131891,9.6,80.2,97.2,63.1,97.2,92.3,86.4,9.6,85.4,62.5,99.1,100,90.7,92.3,86.4,9.6,100,79.7,76.4,62.5,100,100,99.1,94.7,82.2,99.8,84.8,99.9,77.7,100,77.7,100,18.9,4.8,NA,5,59.9,99.5,98.2,85.1,22.8,80.5,95.5,82.3,89,16.3,100,100,0.5,5,41.1,4.2,6.4,593311,86.6,86.6,4.5,1,0.1,0.5,NA,0.5,0.401,-0.0001,1.5,9.4,36,2.6,21,11.4,1.6,776
"GTM","Guatemala","Latin America and Caribbe","Meso America",12599.1,4150.2,0,108523,29,76.7,78.2,75.1,78.2,98.5,85.1,36.4,79.3,80.2,83.8,87.6,57.6,98.5,85.1,36.4,71.9,88.9,77.2,80.2,83.6,91.5,83.8,34.5,60.1,98.9,98,98.9,70.1,81,70.1,71.9,76.1,66.4,0,3,77.8,100,100,90.7,100,95.1,0,93.4,88.5,58.6,86,95,9,62.2,67.5,19.5,0.8,4.52702e+06,82,82,0,0.9,0.4,6.6,0,0.3,0.2222,0.0011,0,5.9,0,0.7,0,5.7,1.6,384
"GUY","Guyana","Latin America and Caribbe","South America",751.2,4203.6,0,210632,0.6,64.8,75.3,54.4,75.3,99.6,74.8,55.5,77.2,36.5,82,68,69.2,99.6,74.8,55.5,100,50,81.6,36.5,64.9,71.1,82,37.9,85.2,100,99.2,100,49.6,65.4,NA,100,99.9,49.5,NA,0,0,100,100,99.2,100,99.9,9.1,0,79,30.5,70,83,10,59,37.6,0,0.3,0,69.7,NA,0,1,0.5,5,NA,0,1,0.001,0,0.5,0,0,2,54.1,2.3,644.8
"HND","Honduras","Latin America and Caribbe","Meso America",7204.7,3170.3,0,112078,10,75.4,77.2,73.6,77.2,99.6,77.3,47.1,76.5,76.9,85.6,70.8,66.9,99.6,77.3,47.1,53.6,95.6,80.2,76.9,63.7,77.9,85.6,40,77.2,100,99.2,100,57.1,92.2,NA,53.6,72.7,69.5,39.3,7,91.3,100,100,97.9,100,98.7,4.5,98.4,76.6,55.7,69,87,8,57,47.1,0.2,0.3,7389.7,74.2,NA,2.3,0.9,0.4,6.9,39.3,0.7,0.0871,0.0011,0,1.3,0,0.2,1,3.1,2.5,411
"HRV","Croatia","Europe","Central Europe",4551.3,12164,0,56405.7,13.4,84.6,96.6,72.7,96.6,97.2,92,14.1,89.5,76.9,99.6,100,87.2,97.2,92,14.1,100,80.5,87.9,76.9,100,100,99.6,77.9,90.7,98.8,94.7,99.7,84.1,59.7,84.1,100,19.7,7.7,NA,15,61,100,100,69.9,100,78.5,90.9,90.8,73.6,66.5,100,100,0.2,21,31.1,21.8,2.2,1.13153e+06,90.4,90.4,0,1,0.1,0.8,NA,1.5,0.3897,0.0058,0,19.1,0,2.9,20,7,2.7,311
"HTI","Haiti","Latin America and Caribbe","Caribbean",8527.8,1479.3,0,27229.7,95.3,60.7,50.1,71.3,50.1,99.8,78.9,6.2,76.7,84.1,63.9,20,52.4,99.8,78.9,6.2,86.4,72.9,70.8,84.1,18.1,21.9,63.9,0,81.1,100,99.6,100,59.4,100,NA,86.4,5.5,0.5,18.8,0,72.9,NA,100,55.7,100,98.5,0,100,85.4,66.9,30,54,20,95,42.5,0,0.2,0,75.6,NA,1.6,1,0,0.1,18.8,0,0.2715,NA,0,28,0,0.2,0,1.3,1.9,307
"HUN","Hungary","Central and Eastern Europ","Central Europe",10097.7,16927.9,1,92046.4,22.6,84.2,98.4,70.1,98.4,90.4,79.6,10.5,82.5,79.4,99.6,96.2,97.9,90.4,79.6,10.5,100,NA,65.1,79.4,94.2,98.3,99.6,94.7,100,100,80.8,100,86.3,100,86.3,100,12.1,8.9,NA,100,NA,NA,100,35.7,54.8,39.4,95.5,88.7,86.1,63.5,95,99,0.2,5,17.9,0,8.1,388.3,91.8,91.8,24.5,1,0.1,0.9,NA,10,NA,NA,0,40.7,21.1,8.2,21,8.1,1.8,339
"IDN","Indonesia","East Asia and the Pacific","South East Asia",222782,3570.1,0,1.89781e+06,16.4,66.2,69.5,62.9,69.5,96.1,86.4,50.3,50.9,59.8,91,54.2,41.9,96.1,86.4,50.3,0,70.4,82.3,59.8,47.4,61,91,24,30.9,99.8,97.3,95,73.1,53.5,73.1,0,73.1,99.2,19,10,40.8,100,100,82.8,42.7,99.6,86.4,90.5,72.1,16.9,55,77,5,72.2,102.1,4.6,1.1,2.0593e+07,83.8,83.8,0.2,0.7,0.4,9.9,19,1,0.5918,0.0007,0,10.9,26.7,0,19,7.2,2.8,771
"IND","India","South Asia","South Asia",1.10337e+06,3307.9,0,3.2081e+06,76.5,60.3,62.6,58,62.6,88,65.4,21.2,77.7,57.9,76.6,48.9,48.2,88,65.4,21.2,100,77.2,55.8,57.9,21.6,76.2,76.6,13.9,56.6,99.8,93.9,82,67.7,84.7,67.7,100,15,16.6,43.8,5,71.9,82.6,80.3,20.1,71.9,92.9,13.6,100,73.8,0,33,86,13,81.8,71.6,3.9,2.6,7.38907e+07,80.6,80.6,33.5,1,0.1,1.7,43.8,0.5,0.2809,-0.0034,16.7,50.6,13.1,1,3,2.2,2.6,943
"IRL","Ireland","Europe","Western Europe",4147.9,36237.9,0,69474,6,82.7,99.4,66.1,99.4,98.6,82.8,8.8,83.8,69.7,99.8,100,97.9,98.6,82.8,8.8,100,68.7,82.6,69.7,100,100,99.8,94.7,100,100,97.2,100,65.5,47.5,65.5,100,24,2.5,NA,0,39,98.5,100,95.4,22.8,99.5,95.5,74.3,97.8,37,100,100,0.1,5,18.7,0.7,1.2,29340.2,79.3,79.3,0,1.1,0.1,0.2,NA,0,0.6099,-0.0003,0,2.9,36,0.1,21,15.6,1,584
"IRN","Iran","Middle East and North Africa","South Asia",69515.2,7405.2,0,1.59035e+06,8.6,76.9,88.9,64.8,88.9,98.8,61.7,44.3,81.6,63.4,92.8,85,85.2,98.8,61.7,44.3,100,53.7,91,63.4,80.1,89.8,92.8,94.7,68.2,100,97.6,99.9,51.3,38.3,51.3,100,95.1,41.4,0,12,14.7,92.8,89.4,79.1,100,95.4,90.9,87.3,60.7,42.4,83,94,4,5,57.8,0.4,1,544369,70.7,70.7,25.3,1,0.5,4.1,0,1.2,0.8533,-0.0014,9,13.2,0,0.6,20,8.8,3.5,534
"IRQ","Iraq","Middle East and North Africa","Mashriq",28807.2,1900,0,426754,8.7,53.9,67.1,40.8,67.1,98.8,46.3,1.6,55.6,40.6,69.4,71.6,58.1,98.8,46.3,1.6,100,0,66.9,40.6,75.4,67.7,69.4,94.7,0.5,100,97.7,100,21.3,99.2,21.3,100,2.8,0.4,NA,0,0,NA,70.2,65.9,100,98.3,0,97.3,0,24.4,79,81,17,5,138.3,0.3,1,122975,52.7,52.7,26,1,0,0,NA,0,1,NA,25.4,21.6,0,0.2,0,3.6,10.5,701
"ISL","Iceland","Europe","Western Europe",294.6,33609.9,0,91116.4,0.8,87.6,99.3,75.8,99.3,96,63.7,62.3,73.4,82.3,99.6,100,97.9,96,63.7,62.3,100,46.8,NA,82.3,100,100,99.6,94.7,100,100,92,100,28.5,84.6,28.5,100,100,82.9,NA,4,46.5,47.1,NA,NA,0,97.6,90.9,79.5,67.4,99.9,100,100,0.2,5,18.1,0,3.4,0,57,57,0.9,1.1,0.5,8.3,NA,0.4,0.5349,-0.0103,NA,NA,69,0.3,20,12.9,3.1,1
"ISR","Israel","Middle East and North Africa","Western Europe",6724.6,23020.1,0,21878.1,32.4,79.6,97.9,61.3,97.9,75.2,42.4,62.7,76.6,60.5,99.8,100,92,75.2,42.4,62.7,100,83.3,46.5,60.5,100,100,99.8,94.7,85.3,100,50.3,100,67.8,59.1,67.8,100,72.9,64.9,100,13,83.3,NA,77.5,53.6,0.5,96.3,4.5,85.2,79,17.3,100,100,0.1,5,37.5,0,21,0,80.7,80.7,75.3,1,0.4,6.5,100,1.3,0.1671,NA,19.1,29.4,46.4,0.5,1,9.9,2.3,767
"ITA","Italy","Europe","Western Europe",58092.7,26495.7,0,299286,43.6,84.2,98.6,69.8,98.6,87.7,86.7,16.5,84.7,74.5,99.8,100,94.9,87.7,86.7,16.5,100,80.1,73.9,74.5,100,100,99.8,94.7,94,96.9,87.7,87.8,92.8,100,92.8,100,39.3,17.6,0,9,75.1,85.1,100,65.3,22.8,85.7,95.5,84.9,82.3,56.3,100,100,0.1,5,27.1,57.7,5.2,4.99979e+07,95.7,95.7,17.7,1.1,0.2,1.8,0,0.9,0.2489,-0.0029,0,21.9,36,2,21,10.1,2.1,405
"JAM","Jamaica","Latin America and Caribbe","Caribbean",2650.7,3907.4,0,11060.2,86.2,79.1,87.2,71,87.2,86.9,79.7,35,96.2,70,96.4,82.4,73.6,86.9,79.7,35,100,92.3,NA,70,76.6,88.1,96.4,52.6,81.3,100,73.8,100,59.4,97.5,NA,100,66.4,28.6,40,5,92.3,NA,NA,83.9,100,NA,90.9,94.7,92.1,23.1,80,93,2,45,42.2,0,11,0,75.6,NA,0,1,0.3,2.9,40,0.5,0.0765,NA,NA,10.2,0,NA,20,5,1.4,713
"JOR","Jordan","Middle East and North Africa","Mashriq",5702.8,5176,0,88361.8,6.1,76.5,91.7,61.4,91.7,95.6,14.6,88.7,69.8,61.4,92.8,93.4,87.7,95.6,14.6,88.7,100,49.4,60.2,61.4,91.8,94.9,92.8,94.7,74.5,100,91.2,100,11.9,95.1,11.9,100,100,77.3,NA,100,1.3,97.4,38,62.6,0.5,99.8,100,96.2,59.1,28.8,93,97,4,5,50.3,0,3.7,0,47.1,47.1,75,1,0.5,7.7,NA,10,0.9872,-0.0005,52.7,23.7,46.4,0,22,4.2,3.6,660
"JPN","Japan","East Asia and the Pacific","Northeast Asia",128085,27991.9,0,371705,44.2,84.5,98.3,70.8,98.3,83.7,86.3,37.3,85.7,70.5,99.6,100,93.8,83.7,86.3,37.3,100,78.4,78.7,70.5,100,100,99.6,94.7,90.6,98.3,83.1,84.3,78.7,100,78.7,100,93.8,25.6,27.8,2,75.3,81.6,100,97.4,0,96.2,100,83.1,74.6,53.8,100,100,0.2,5,31.2,31.7,7.1,6.43177e+07,87.2,87.2,5.6,1.1,0.5,2.6,27.8,0.2,0.2474,-0.0036,0,1.7,56,0.5,22,11,2.6,429
"KAZ","Kazakhstan","Central and Eastern Europ","Central Asia",14825.1,7652.2,1,2.61935e+06,0.5,65,91.5,38.4,91.5,95.8,60.3,22.9,87,16.1,98.2,71.7,97.9,95.8,60.3,22.9,100,NA,74.1,16.1,67.3,76.2,98.2,94.7,100,100,91.5,100,42.8,100,NA,100,24.6,21.3,NA,100,NA,NA,82.9,86.2,100,55.9,45.5,48.4,0,0,72,86,1,5,18.8,0.1,3.6,35074.5,65.6,NA,20.1,1,0.1,2.1,NA,10,NA,NA,14.6,8.7,0,6,10,29,8.3,1137
