Line,Month,Scheduled,Excess,TOTAL,Opened,Length,Type,Stations
Bakerloo,1,29.42,6.04,35.46,1906,23.2,DT,25
Bakerloo,2,29.42,6.54,35.96,1906,23.2,DT,25
Bakerloo,3,29.3,4.77,34.08,1906,23.2,DT,25
Bakerloo,4,29.3,5.4,34.7,1906,23.2,DT,25
Bakerloo,5,29.3,5.23,34.53,1906,23.2,DT,25
Bakerloo,6,29.3,5.03,34.33,1906,23.2,DT,25
Bakerloo,7,29.3,5.14,34.44,1906,23.2,DT,25
Bakerloo,8,29.3,5.73,35.03,1906,23.2,DT,25
Bakerloo,9,29.3,4.8,34.1,1906,23.2,DT,25
Bakerloo,10,29.3,5.95,35.25,1906,23.2,DT,25
Bakerloo,11,29.3,4.76,34.06,1906,23.2,DT,25
Bakerloo,12,29.3,6,35.3,1906,23.2,DT,25
Bakerloo,13,29.3,6.67,35.97,1906,23.2,DT,25
Bakerloo,14,29.3,5.24,34.54,1906,23.2,DT,25
Bakerloo,15,29.3,4.83,34.13,1906,23.2,DT,25
Bakerloo,16,29.3,5.5,34.8,1906,23.2,DT,25
Bakerloo,17,29.3,6.19,35.5,1906,23.2,DT,25
Bakerloo,18,29.3,5.6,34.9,1906,23.2,DT,25
Bakerloo,19,29.3,4.64,33.94,1906,23.2,DT,25
Bakerloo,20,29.3,4.74,34.04,1906,23.2,DT,25
Bakerloo,21,29.46,6.96,36.42,1906,23.2,DT,25
Bakerloo,22,29.3,5.72,35.02,1906,23.2,DT,25
Bakerloo,23,29.28,5.4,34.67,1906,23.2,DT,25
Bakerloo,24,29.28,5.11,34.38,1906,23.2,DT,25
Bakerloo,25,29.28,5.65,34.93,1906,23.2,DT,25
Bakerloo,26,29.28,4.37,33.65,1906,23.2,DT,25
Bakerloo,27,29.26,5.3,34.56,1906,23.2,DT,25
Bakerloo,28,29.26,4.36,33.62,1906,23.2,DT,25
Bakerloo,29,29.26,4.48,33.75,1906,23.2,DT,25
Bakerloo,30,29.26,5.45,34.72,1906,23.2,DT,25
Bakerloo,31,29.26,4.8,34.06,1906,23.2,DT,25
Bakerloo,32,29.26,4.54,33.81,1906,23.2,DT,25
Bakerloo,33,29.26,3.99,33.26,1906,23.2,DT,25
Bakerloo,34,29.26,5.41,34.68,1906,23.2,DT,25
Bakerloo,35,29.26,4.78,34.04,1906,23.2,DT,25
Bakerloo,36,29.26,5.04,34.31,1906,23.2,DT,25
Bakerloo,37,29.26,4.77,34.03,1906,23.2,DT,25
Bakerloo,38,29.26,5.52,34.79,1906,23.2,DT,25
Bakerloo,39,29.26,4.99,34.26,1906,23.2,DT,25
Bakerloo,40,29.23,5.31,34.55,1906,23.2,DT,25
Bakerloo,41,29.23,5.45,34.68,1906,23.2,DT,25
Bakerloo,42,29.23,4.23,33.47,1906,23.2,DT,25
Bakerloo,43,29.47,5.68,35.15,1906,23.2,DT,25
Bakerloo,44,29.72,4.52,34.24,1906,23.2,DT,25
Bakerloo,45,29.72,4.87,34.59,1906,23.2,DT,25
Bakerloo,46,29.72,5.03,34.75,1906,23.2,DT,25
Bakerloo,47,29.72,5.45,35.17,1906,23.2,DT,25
Bakerloo,48,29.72,5.5,35.23,1906,23.2,DT,25
Bakerloo,49,29.51,4.02,33.52,1906,23.2,DT,25
Bakerloo,50,29.51,5.38,34.89,1906,23.2,DT,25
Bakerloo,51,29.51,5.86,35.37,1906,23.2,DT,25
Bakerloo,52,29.51,5.17,34.68,1906,23.2,DT,25
Bakerloo,53,29.57,4.84,34.41,1906,23.2,DT,25
Bakerloo,54,29.57,5.11,34.68,1906,23.2,DT,25
Bakerloo,55,29.51,5.19,34.7,1906,23.2,DT,25
Bakerloo,56,29.08,5.59,34.67,1906,23.2,DT,25
Bakerloo,57,29.08,5.57,34.65,1906,23.2,DT,25
Bakerloo,58,29.08,5.23,34.31,1906,23.2,DT,25
Bakerloo,59,29.08,5.39,34.47,1906,23.2,DT,25
Bakerloo,60,29.08,6.1,35.18,1906,23.2,DT,25
Bakerloo,61,29.08,5.88,34.96,1906,23.2,DT,25
Bakerloo,62,29.08,5.2,34.28,1906,23.2,DT,25
Bakerloo,63,29.08,5.01,34.09,1906,23.2,DT,25
Bakerloo,64,29.08,5.84,34.92,1906,23.2,DT,25
Bakerloo,65,29.08,5.28,34.37,1906,23.2,DT,25
Bakerloo,66,28.92,4.71,33.62,1906,23.2,DT,25
Bakerloo,67,28.92,4.19,33.11,1906,23.2,DT,25
Bakerloo,68,28.92,4.26,33.18,1906,23.2,DT,25
Bakerloo,69,28.92,4.18,33.1,1906,23.2,DT,25
Bakerloo,70,28.92,4.47,33.39,1906,23.2,DT,25
Bakerloo,71,28.92,4.55,33.46,1906,23.2,DT,25
Bakerloo,72,28.92,4.61,33.52,1906,23.2,DT,25
Bakerloo,73,28.92,5.06,33.98,1906,23.2,DT,25
Bakerloo,74,28.92,4.37,33.28,1906,23.2,DT,25
Bakerloo,75,28.92,4.15,33.07,1906,23.2,DT,25
Bakerloo,76,28.92,3.95,32.87,1906,23.2,DT,25
Bakerloo,77,28.92,6.08,35,1906,23.2,DT,25
Bakerloo,78,28.92,4.42,33.34,1906,23.2,DT,25
Bakerloo,79,28.92,4.34,33.26,1906,23.2,DT,25
Bakerloo,80,28.92,4.17,33.08,1906,23.2,DT,25
Bakerloo,81,28.92,5.13,34.05,1906,23.2,DT,25
Bakerloo,82,28.92,3.95,32.86,1906,23.2,DT,25
Bakerloo,83,28.92,3.53,32.45,1906,23.2,DT,25
Bakerloo,84,28.92,5.04,33.96,1906,23.2,DT,25
Bakerloo,85,28.92,4.67,33.59,1906,23.2,DT,25
Bakerloo,86,28.92,3.96,32.87,1906,23.2,DT,25
Bakerloo,87,28.92,4.27,33.19,1906,23.2,DT,25
Bakerloo,88,28.92,4.6,33.52,1906,23.2,DT,25
Bakerloo,89,28.92,4.87,33.78,1906,23.2,DT,25
Bakerloo,90,28.92,4.56,33.48,1906,23.2,DT,25
Bakerloo,91,28.92,4.36,33.27,1906,23.2,DT,25
Bakerloo,92,28.92,4.19,33.11,1906,23.2,DT,25
Bakerloo,93,28.92,4.48,33.39,1906,23.2,DT,25
Bakerloo,94,28.92,4.49,33.41,1906,23.2,DT,25
Bakerloo,95,28.92,4.85,33.76,1906,23.2,DT,25
Bakerloo,96,28.92,5.74,34.65,1906,23.2,DT,25
Bakerloo,97,28.92,5.14,34.06,1906,23.2,DT,25
Bakerloo,98,28.92,5.93,34.84,1906,23.2,DT,25
Bakerloo,99,28.92,5.84,34.76,1906,23.2,DT,25
Bakerloo,100,28.92,6.26,35.18,1906,23.2,DT,25
Bakerloo,101,28.92,5.07,33.98,1906,23.2,DT,25
Bakerloo,102,28.92,4.5,33.42,1906,23.2,DT,25
Bakerloo,103,28.92,4.96,33.88,1906,23.2,DT,25
Bakerloo,104,28.92,4.75,33.66,1906,23.2,DT,25
Bakerloo,105,28.92,5.22,34.13,1906,23.2,DT,25
Central,1,32.62,7.21,39.84,1900,74,DT,49
Central,2,32.62,5.23,37.85,1900,74,DT,49
Central,3,32.62,5.67,38.29,1900,74,DT,49
Central,4,32.62,6.1,38.72,1900,74,DT,49
Central,5,32.62,5.54,38.16,1900,74,DT,49
Central,6,32.62,5.85,38.47,1900,74,DT,49
Central,7,32.62,6.08,38.7,1900,74,DT,49
Central,8,32.62,7.95,40.57,1900,74,DT,49
Central,9,32.62,7.27,39.89,1900,74,DT,49
Central,10,32.62,6.64,39.27,1900,74,DT,49
Central,11,32.62,6.33,38.95,1900,74,DT,49
Central,12,32.62,6.09,38.72,1900,74,DT,49
Central,13,32.62,7.01,39.63,1900,74,DT,49
Central,14,32.62,6.33,38.96,1900,74,DT,49
Central,15,32.62,6.78,39.41,1900,74,DT,49
Central,16,32.04,7.04,39.08,1900,74,DT,49
Central,17,32.04,10.1,42.14,1900,74,DT,49
Central,18,32.04,6.91,38.95,1900,74,DT,49
Central,19,32.04,5.74,37.78,1900,74,DT,49
Central,20,32.04,6.17,38.21,1900,74,DT,49
Central,21,32.04,6.79,38.83,1900,74,DT,49
Central,22,32.04,5.45,37.49,1900,74,DT,49
Central,23,32.04,4.95,36.99,1900,74,DT,49
Central,24,32.04,5.36,37.4,1900,74,DT,49
Central,25,32.04,6.18,38.22,1900,74,DT,49
Central,26,32.04,5.68,37.71,1900,74,DT,49
Central,27,32.02,4.69,36.71,1900,74,DT,49
Central,28,32.43,4.78,37.21,1900,74,DT,49
Central,29,32.59,6.47,39.07,1900,74,DT,49
Central,30,32.59,8.2,40.79,1900,74,DT,49
Central,31,32.44,5.28,37.73,1900,74,DT,49
Central,32,32.44,6.05,38.49,1900,74,DT,49
Central,33,32.44,5.34,37.79,1900,74,DT,49
Central,34,32.44,5.71,38.16,1900,74,DT,49
Central,35,32.44,6.16,38.61,1900,74,DT,49
Central,36,32.44,4.4,36.85,1900,74,DT,49
Central,37,32.44,5.99,38.43,1900,74,DT,49
Central,38,32.44,4.66,37.1,1900,74,DT,49
Central,39,32.44,4.91,37.35,1900,74,DT,49
Central,40,32.45,4.12,36.57,1900,74,DT,49
Central,41,32.45,4.54,36.99,1900,74,DT,49
Central,42,31.87,6.97,38.85,1900,74,DT,49
Central,43,31.87,7.23,39.1,1900,74,DT,49
Central,44,32.42,6.14,38.56,1900,74,DT,49
Central,45,32.42,4.93,37.35,1900,74,DT,49
Central,46,32.42,7.27,39.7,1900,74,DT,49
Central,47,32.42,7.72,40.14,1900,74,DT,49
Central,48,31.87,9.49,41.36,1900,74,DT,49
Central,49,31.57,5.3,36.87,1900,74,DT,49
Central,50,31.57,6.35,37.92,1900,74,DT,49
Central,51,31.57,6.55,38.12,1900,74,DT,49
Central,52,31.57,4.99,36.56,1900,74,DT,49
Central,53,31.72,6.09,37.81,1900,74,DT,49
Central,54,31.72,5.4,37.11,1900,74,DT,49
Central,55,31.72,6.14,37.86,1900,74,DT,49
Central,56,31.72,7.26,38.98,1900,74,DT,49
Central,57,31.72,5.11,36.83,1900,74,DT,49
Central,58,31.72,9.42,41.14,1900,74,DT,49
Central,59,31.72,6.26,37.98,1900,74,DT,49
Central,60,31.72,6.64,38.36,1900,74,DT,49
Central,61,31.72,6.41,38.13,1900,74,DT,49
Central,62,31.72,5.68,37.39,1900,74,DT,49
Central,63,31.72,5.54,37.26,1900,74,DT,49
Central,64,32.96,6.3,39.26,1900,74,DT,49
Central,65,32.96,5.7,38.66,1900,74,DT,49
Central,66,33.81,5.18,38.99,1900,74,DT,49
Central,67,33.81,5.51,39.32,1900,74,DT,49
Central,68,33.81,4.85,38.66,1900,74,DT,49
Central,69,33.81,5.58,39.39,1900,74,DT,49
Central,70,33.81,4.89,38.69,1900,74,DT,49
Central,71,33.81,4.22,38.03,1900,74,DT,49
Central,72,33.46,5.2,38.66,1900,74,DT,49
Central,73,32.57,5.92,38.49,1900,74,DT,49
Central,74,32.57,5.16,37.73,1900,74,DT,49
Central,75,32.57,4.29,36.85,1900,74,DT,49
Central,76,32.57,5.09,37.66,1900,74,DT,49
Central,77,32.57,6.34,38.9,1900,74,DT,49
Central,78,32.57,5.83,38.39,1900,74,DT,49
Central,79,32.57,4.83,37.39,1900,74,DT,49
Central,80,32.57,4.62,37.18,1900,74,DT,49
Central,81,32.57,8.41,40.98,1900,74,DT,49
Central,82,32.57,4.79,37.36,1900,74,DT,49
Central,83,32.57,4.65,37.22,1900,74,DT,49
Central,84,32.57,4.49,37.06,1900,74,DT,49
Central,85,32.57,5.18,37.75,1900,74,DT,49
Central,86,32.57,5.69,38.26,1900,74,DT,49
Central,87,32.57,6.07,38.64,1900,74,DT,49
Central,88,32.57,4.81,37.37,1900,74,DT,49
Central,89,32.57,4.95,37.52,1900,74,DT,49
Central,90,32.57,6.15,38.72,1900,74,DT,49
Central,91,32.57,5.23,37.8,1900,74,DT,49
Central,92,31.77,5.35,37.12,1900,74,DT,49
Central,93,31.77,5.63,37.41,1900,74,DT,49
Central,94,31.77,5.41,37.19,1900,74,DT,49
Central,95,32.06,5.55,37.6,1900,74,DT,49
Central,96,32.15,4.68,36.83,1900,74,DT,49
Central,97,32.15,8.12,40.27,1900,74,DT,49
Central,98,32.15,8.36,40.51,1900,74,DT,49
Central,99,32.15,7.87,40.03,1900,74,DT,49
Central,100,32.15,8.42,40.58,1900,74,DT,49
Central,101,32.15,5.54,37.69,1900,74,DT,49
Central,102,32.15,5.95,38.1,1900,74,DT,49
Central,103,32.15,6.17,38.32,1900,74,DT,49
Central,104,32.15,5.94,38.09,1900,74,DT,49
Central,105,32.15,6.3,38.46,1900,74,DT,49
Circle & Ham,1,28.06,7.5,35.56,1884,52.7,SS,65
Circle & Ham,2,28.06,7.92,35.98,1884,52.7,SS,65
Circle & Ham,3,28.06,8.46,36.52,1884,52.7,SS,65
Circle & Ham,4,28.06,6.94,35,1884,52.7,SS,65
Circle & Ham,5,28.06,7.76,35.82,1884,52.7,SS,65
Circle & Ham,6,28.06,8.19,36.25,1884,52.7,SS,65
Circle & Ham,7,28.06,8.03,36.09,1884,52.7,SS,65
Circle & Ham,8,28.07,8.13,36.2,1884,52.7,SS,65
Circle & Ham,9,28.07,8.42,36.49,1884,52.7,SS,65
Circle & Ham,10,28.07,8.49,36.56,1884,52.7,SS,65
Circle & Ham,11,28.07,7.16,35.23,1884,52.7,SS,65
Circle & Ham,12,28.07,7.49,35.56,1884,52.7,SS,65
Circle & Ham,13,28.07,7.15,35.22,1884,52.7,SS,65
Circle & Ham,14,28.07,7.53,35.6,1884,52.7,SS,65
Circle & Ham,15,28.07,6.61,34.68,1884,52.7,SS,65
Circle & Ham,16,28.07,6.63,34.7,1884,52.7,SS,65
Circle & Ham,17,28.07,7.14,35.21,1884,52.7,SS,65
Circle & Ham,18,28.07,6.52,34.59,1884,52.7,SS,65
Circle & Ham,19,28.07,6.23,34.3,1884,52.7,SS,65
Circle & Ham,20,28.07,7.3,35.37,1884,52.7,SS,65
Circle & Ham,21,28.07,7.59,35.66,1884,52.7,SS,65
Circle & Ham,22,28.07,7.01,35.08,1884,52.7,SS,65
Circle & Ham,23,28.07,6.92,34.99,1884,52.7,SS,65
Circle & Ham,24,28.07,6.62,34.69,1884,52.7,SS,65
Circle & Ham,25,28.07,7.47,35.54,1884,52.7,SS,65
Circle & Ham,26,28.07,6.74,34.81,1884,52.7,SS,65
Circle & Ham,27,28.01,6.28,34.29,1884,52.7,SS,65
Circle & Ham,28,28.01,6.62,34.64,1884,52.7,SS,65
Circle & Ham,29,28.01,5.99,34.01,1884,52.7,SS,65
Circle & Ham,30,28.01,16.08,44.09,1884,52.7,SS,65
Circle & Ham,31,28.01,11.38,39.39,1884,52.7,SS,65
Circle & Ham,32,28.01,6.88,34.9,1884,52.7,SS,65
Circle & Ham,33,28.01,6.73,34.74,1884,52.7,SS,65
Circle & Ham,34,28.01,6.95,34.96,1884,52.7,SS,65
Circle & Ham,35,28.01,6.85,34.86,1884,52.7,SS,65
Circle & Ham,36,28.01,6.83,34.84,1884,52.7,SS,65
Circle & Ham,37,28.06,5.84,33.9,1884,52.7,SS,65
Circle & Ham,38,28.06,6.03,34.09,1884,52.7,SS,65
Circle & Ham,39,28.06,6.65,34.71,1884,52.7,SS,65
Circle & Ham,40,28.02,6.48,34.5,1884,52.7,SS,65
Circle & Ham,41,28.02,7.59,35.61,1884,52.7,SS,65
Circle & Ham,42,28.02,7.33,35.35,1884,52.7,SS,65
Circle & Ham,43,28.02,8.36,36.38,1884,52.7,SS,65
Circle & Ham,44,28.02,7.17,35.19,1884,52.7,SS,65
Circle & Ham,45,28.02,6.49,34.51,1884,52.7,SS,65
Circle & Ham,46,28.02,8.39,36.41,1884,52.7,SS,65
Circle & Ham,47,28.02,8.04,36.06,1884,52.7,SS,65
Circle & Ham,48,28.02,8.39,36.41,1884,52.7,SS,65
Circle & Ham,49,28.02,7.33,35.35,1884,52.7,SS,65
Circle & Ham,50,28.02,8.79,36.81,1884,52.7,SS,65
Circle & Ham,51,28.02,8.27,36.29,1884,52.7,SS,65
Circle & Ham,52,28.02,7.44,35.46,1884,52.7,SS,65
Circle & Ham,53,28.64,6.39,35.02,1884,52.7,SS,65
Circle & Ham,54,28.64,6.26,34.89,1884,52.7,SS,65
Circle & Ham,55,28.64,6.51,35.14,1884,52.7,SS,65
Circle & Ham,56,28.64,7.8,36.43,1884,52.7,SS,65
Circle & Ham,57,28.64,8.19,36.83,1884,52.7,SS,65
Circle & Ham,58,28.64,7.93,36.56,1884,52.7,SS,65
Circle & Ham,59,28.64,7.08,35.71,1884,52.7,SS,65
Circle & Ham,60,28.64,7.07,35.71,1884,52.7,SS,65
Circle & Ham,61,28.64,8.7,37.34,1884,52.7,SS,65
Circle & Ham,62,28.64,7.17,35.8,1884,52.7,SS,65
Circle & Ham,63,28.64,7.29,35.93,1884,52.7,SS,65
Circle & Ham,64,28.64,8.2,36.84,1884,52.7,SS,65
Circle & Ham,65,28.64,8.05,36.68,1884,52.7,SS,65
Circle & Ham,66,28.72,7.51,36.22,1884,52.7,SS,65
Circle & Ham,67,28.72,7.67,36.39,1884,52.7,SS,65
Circle & Ham,68,28.72,7.93,36.64,1884,52.7,SS,65
Circle & Ham,69,28.72,7.6,36.31,1884,52.7,SS,65
Circle & Ham,70,28.72,7.63,36.35,1884,52.7,SS,65
Circle & Ham,71,28.72,6.84,35.56,1884,52.7,SS,65
Circle & Ham,72,28.72,7.89,36.61,1884,52.7,SS,65
Circle & Ham,73,28.72,7.79,36.5,1884,52.7,SS,65
Circle & Ham,74,28.72,7.29,36.01,1884,52.7,SS,65
Circle & Ham,75,28.72,6.47,35.19,1884,52.7,SS,65
Circle & Ham,76,28.72,6.56,35.28,1884,52.7,SS,65
Circle & Ham,77,28.72,7.73,36.45,1884,52.7,SS,65
Circle & Ham,78,28.72,6.32,35.04,1884,52.7,SS,65
Circle & Ham,79,28.72,6.16,34.88,1884,52.7,SS,65
Circle & Ham,80,28.72,5.2,33.92,1884,52.7,SS,65
Circle & Ham,81,28.72,7.2,35.92,1884,52.7,SS,65
Circle & Ham,82,28.72,6.54,35.26,1884,52.7,SS,65
Circle & Ham,83,28.72,6.31,35.03,1884,52.7,SS,65
Circle & Ham,84,28.72,6.19,34.91,1884,52.7,SS,65
Circle & Ham,85,28.72,6.83,35.55,1884,52.7,SS,65
Circle & Ham,86,28.72,6.01,34.73,1884,52.7,SS,65
Circle & Ham,87,28.72,7.28,36,1884,52.7,SS,65
Circle & Ham,88,31,5.4,36.39,1884,52.7,SS,65
Circle & Ham,89,31,6.88,37.88,1884,52.7,SS,65
Circle & Ham,90,31,7.32,38.32,1884,52.7,SS,65
Circle & Ham,91,31,6.37,37.37,1884,52.7,SS,65
Circle & Ham,92,31.47,5.81,37.27,1884,52.7,SS,65
Circle & Ham,93,31.47,4.68,36.14,1884,52.7,SS,65
Circle & Ham,94,31.47,5.69,37.16,1884,52.7,SS,65
Circle & Ham,95,31.58,7.35,38.93,1884,52.7,SS,65
Circle & Ham,96,36.03,4.48,40.51,1884,52.7,SS,65
Circle & Ham,97,31.47,6.65,38.11,1884,52.7,SS,65
Circle & Ham,98,31.47,6.35,37.82,1884,52.7,SS,65
Circle & Ham,99,31.47,7.69,39.16,1884,52.7,SS,65
Circle & Ham,100,31.47,6.86,38.33,1884,52.7,SS,65
Circle & Ham,101,31.47,5.84,37.31,1884,52.7,SS,65
Circle & Ham,102,31.47,6.26,37.72,1884,52.7,SS,65
Circle & Ham,103,31.47,6.48,37.95,1884,52.7,SS,65
Circle & Ham,104,31.47,5.54,37.01,1884,52.7,SS,65
Circle & Ham,105,31.47,6.07,37.54,1884,52.7,SS,65
District,1,29.95,4.74,34.69,1868,64,SS,60
District,2,29.95,5.06,35,1868,64,SS,60
District,3,29.95,6.02,35.97,1868,64,SS,60
District,4,29.95,5.56,35.51,1868,64,SS,60
District,5,29.95,4.86,34.81,1868,64,SS,60
District,6,29.95,4.79,34.73,1868,64,SS,60
District,7,29.95,5,34.95,1868,64,SS,60
District,8,29.99,4.96,34.95,1868,64,SS,60
District,9,29.99,6.27,36.26,1868,64,SS,60
District,10,29.99,4.99,34.97,1868,64,SS,60
District,11,29.99,5.38,35.37,1868,64,SS,60
District,12,29.99,5.44,35.43,1868,64,SS,60
District,13,29.99,5.45,35.43,1868,64,SS,60
District,14,29.99,6.01,35.99,1868,64,SS,60
District,15,29.99,5.76,35.75,1868,64,SS,60
District,16,30,4.51,34.51,1868,64,SS,60
District,17,30,6.4,36.4,1868,64,SS,60
District,18,30,5.29,35.29,1868,64,SS,60
District,19,30,5.2,35.2,1868,64,SS,60
District,20,30,5.05,35.05,1868,64,SS,60
District,21,30,5.92,35.92,1868,64,SS,60
District,22,30,5.78,35.78,1868,64,SS,60
District,23,30,3.89,33.89,1868,64,SS,60
District,24,30,5.73,35.73,1868,64,SS,60
District,25,30,6.96,36.96,1868,64,SS,60
District,26,30,5.73,35.73,1868,64,SS,60
District,27,29.97,5.67,35.64,1868,64,SS,60
District,28,29.97,5.26,35.23,1868,64,SS,60
District,29,29.97,6.7,36.67,1868,64,SS,60
District,30,29.97,7.61,37.59,1868,64,SS,60
District,31,29.97,5.37,35.34,1868,64,SS,60
District,32,29.97,5.4,35.37,1868,64,SS,60
District,33,29.97,5.09,35.06,1868,64,SS,60
District,34,29.97,5.17,35.14,1868,64,SS,60
District,35,29.97,7.09,37.06,1868,64,SS,60
